"年","15歳以上人口","労働力人口","就業者","完全失業者","非労働力人口","労働力率","非労働力率","完全失業率","全国労働力率"
"総数_昭和25年","677004.0","421491.0","412384.0","9107.0","255493.0","62.3","37.7","2.2","65.4"
"総数_昭和30年","694032.0","446820.0","438007.0","8813.0","247212.0","64.4","35.6","2.0","67.3"
"総数_昭和35年","717797.0","460785.0","457345.0","3440.0","256838.0","64.2","35.8","0.7","67.4"
"総数_昭和40年","774810.0","490369.0","481181.0","9188.0","284213.0","63.3","36.7","1.9","66.0"
"総数_昭和45年","799251.0","520634.0","511565.0","9069.0","278602.0","65.1","34.9","1.7","67.1"
"総数_昭和50年","820335.0","500513.0","487213.0","13300.0","319822.0","61.0","39.0","2.7","64.2"
"総数_昭和55年","842630.0","514180.0","499416.0","14764.0","326101.0","61.0","38.7","2.9","64.0"
"総数_昭和60年","861913.0","518457.0","497049.0","21408.0","342097.0","60.2","39.7","4.1","63.6"
"総数_平成2年","880713.0","521763.0","503903.0","17860.0","355276.0","59.2","40.3","3.4","63.1"
"総数_平成7年","904667.0","546051.0","521584.0","24467.0","357042.0","60.4","39.5","4.5","63.6"
"総数_平成12年","910128.0","525162.0","499157.0","26005.0","378519.0","58.11364851092365","41.88635148907635","5.0","62.1"
"総数_平成17年","891901.0","510892.0","478478.0","32414.0","370207.0","57.98349561173035","42.01650438826965","6.3","61.5"
"総数_平成22年","865419.0","483582.0","450969.0","32613.0","358519.0","57.42565321736941","42.574346782630585","6.7440475451939905","-"
"男_昭和25年","320122.0","267293.0","261187.0","6106.0","52818.0","83.5","16.5","2.3","83.5"
"男_昭和30年","331231.0","283190.0","276748.0","6442.0","48041.0","85.5","14.5","2.3","85.2"
"男_昭和35年","339318.0","288889.0","286472.0","2417.0","50369.0","85.1","14.8","0.8","85.0"
"男_昭和40年","368697.0","308040.0","301124.0","6916.0","60594.0","83.5","16.4","2.2","83.2"
"男_昭和45年","378237.0","320160.0","313583.0","6577.0","58071.0","84.6","15.4","2.1","84.3"
"男_昭和50年","388183.0","321140.0","310851.0","10289.0","67043.0","82.7","17.3","3.2","83.4"
"男_昭和55年","397403.0","321738.0","310509.0","11229.0","74955.0","81.0","18.9","3.5","82.1"
"男_昭和60年","404303.0","318474.0","302337.0","16137.0","85276.0","78.8","21.1","5.1","80.4"
"男_平成2年","411393.0","314506.0","301719.0","12787.0","95010.0","76.4","23.1","4.1","78.7"
"男_平成7年","423162.0","327971.0","311152.0","16819.0","94418.0","77.5","22.3","5.1","78.8"
"男_平成12年","424878.0","309557.0","291858.0","17699.0","111262.0","73.56060444038887","26.43939555961114","5.7","76.5"
"男_平成17年","414084.0","294467.0","272309.0","22158.0","112729.0","72.3","27.7","7.5","75.3"
"男_平成22年","401015.0","275633.0","253134.0","22499.0","113793.0","70.77930081710005","29.220699182899963","8.162665573425533","-"
"女_昭和25年","356882.0","154198.0","151197.0","3001.0","202675.0","43.2","56.8","1.9","48.7"
"女_昭和30年","362801.0","163630.0","161259.0","2371.0","199171.0","45.1","54.9","1.4","50.7"
"女_昭和25年","378479.0","171896.0","170873.0","1023.0","206469.0","45.4","54.6","0.6","50.9"
"女_昭和30年","406113.0","182329.0","180057.0","2272.0","223619.0","44.9","55.1","1.2","49.8"
"女_昭和35年","421014.0","200474.0","197982.0","2492.0","220531.0","47.6","52.4","1.2","50.9"
"女_昭和40年","432152.0","179373.0","176362.0","3011.0","252779.0","41.5","58.5","1.7","46.1"
"女_昭和45年","445227.0","192442.0","188907.0","3535.0","251146.0","43.2","56.4","1.8","46.9"
"女_昭和50年","457610.0","199983.0","194712.0","5271.0","256821.0","43.7","56.1","2.6","47.7"
"女_平成2年","469320.0","207257.0","202184.0","5073.0","260266.0","44.2","55.5","2.4","48.4"
"女_平成7年","481505.0","218080.0","210432.0","7648.0","262624.0","45.3","54.5","3.5","49.1"
"女_平成12年","485250.0","215605.0","207299.0","8306.0","267257.0","44.651473920084825","55.348526079915175","3.9","48.7"
"女_平成17年","477817.0","216425.0","206169.0","10256.0","257478.0","45.7","54.3","4.7","48.8"
"女_平成22年","464404.0","207949.0","197835.0","10114.0","244726.0","45.93781410504224","54.06218589495775","4.863692539997788","-"
